timestamp,Bx,By,Bz,B_total
2026-08-18 02:33:00,20179.35,928.83,44674.65,49029.37
2026-08-18 02:34:00,20179.78,930.45,44674.01,49028.99
2026-08-18 02:35:00,20181.63,930.38,44673.83,49029.59
2026-08-18 02:36:00,20184.03,929.53,44673.83,49030.56
2026-08-18 02:37:00,20185.53,928.03,44673.99,49031.27
2026-08-18 02:38:00,20186.11,927.3,44674.02,49031.52
2026-08-18 02:39:00,20187.43,925.96,44674.13,49032.15
2026-08-18 02:40:00,20187.97,925.78,44674.1,49032.33
2026-08-18 02:41:00,20188.9,925.5,44673.86,49032.48
2026-08-18 02:42:00,20188.49,925.57,44673.56,49032.04
2026-08-18 02:43:00,20187.68,926.16,44673.27,49031.45
2026-08-18 02:44:00,20187.93,926.99,44672.97,49031.29
2026-08-18 02:45:00,20188.25,925.72,44673.05,49031.48
2026-08-18 02:46:00,20188.54,924.12,44673.52,49032.0
2026-08-18 02:47:00,20188.39,923.26,44673.9,49032.26
2026-08-18 02:48:00,20188.16,923.32,44673.86,49032.13
2026-08-18 02:49:00,20187.77,923.77,44673.76,49031.89
2026-08-18 02:50:00,20187.58,924.71,44673.42,49031.52
2026-08-18 02:51:00,20188.63,924.54,44673.24,49031.79
2026-08-18 02:52:00,20189.52,923.69,44673.24,49032.13
2026-08-18 02:53:00,20189.98,922.9,44673.34,49032.4
2026-08-18 02:54:00,20190.88,922.41,44673.55,49032.96
2026-08-18 02:55:00,20191.06,922.73,44673.21,49032.7
2026-08-18 02:56:00,20190.99,923.67,44672.73,49032.27
2026-08-18 02:57:00,20191.59,924.27,44672.49,49032.3
2026-08-18 02:58:00,20192.14,924.75,44672.33,49032.38
2026-08-18 02:59:00,20191.8,925.74,44671.66,49031.65
2026-08-18 03:00:00,20191.91,926.38,44671.13,49031.22
2026-08-18 03:01:00,20192.45,927.23,44671.12,49031.45
2026-08-18 03:02:00,20193.01,927.92,44670.83,49031.43
2026-08-18 03:03:00,20194.29,928.26,44670.72,49031.86
2026-08-18 03:04:00,20193.97,928.73,44670.23,49031.28
2026-08-18 03:05:00,20193.44,928.35,44670.17,49031.01
2026-08-18 03:06:00,20192.69,927.88,44670.34,49030.85
2026-08-18 03:07:00,20190.99,928.78,44670.11,49029.95
2026-08-18 03:08:00,20187.97,930.34,44669.68,49028.37
2026-08-18 03:09:00,20186.88,931.41,44669.6,49027.89
2026-08-18 03:10:00,20188.53,930.91,44669.87,49028.8
2026-08-18 03:11:00,20189.97,930.31,44669.94,49029.42
2026-08-18 03:12:00,20191.45,929.7,44670.04,49030.11
2026-08-18 03:13:00,20192.87,929.37,44670.01,49030.65
2026-08-18 03:14:00,20193.69,929.2,44669.79,49030.78
2026-08-18 03:15:00,20195.15,928.79,44670.13,49031.69
2026-08-18 03:16:00,20195.47,928.22,44669.97,49031.65
2026-08-18 03:17:00,20195.99,927.96,44669.88,49031.8
2026-08-18 03:18:00,20196.83,927.47,44670.02,49032.26
2026-08-18 03:19:00,20197.04,927.76,44669.76,49032.1
2026-08-18 03:20:00,20198.06,927.86,44669.68,49032.46
2026-08-18 03:21:00,20199.05,927.65,44669.55,49032.73
2026-08-18 03:22:00,20199.81,927.55,44669.5,49033.0
2026-08-18 03:23:00,20200.26,927.49,44669.11,49032.82
2026-08-18 03:24:00,20200.36,927.29,44669.12,49032.87
2026-08-18 03:25:00,20200.49,927.39,44668.99,49032.82
2026-08-18 03:26:00,20200.02,927.92,44668.77,49032.44
2026-08-18 03:27:00,20199.85,927.95,44668.79,49032.4
2026-08-18 03:28:00,20199.23,927.63,44668.73,49032.06
2026-08-18 03:29:00,20199.44,926.54,44668.76,49032.17
