event_id,event_type,start_time,end_time,duration_hours,loading_start,loading_end,loading_duration_hours,loading_chi_rise,peak_time,peak_chi,distance_from_boundary,relaxation_start,relaxation_end,relaxation_duration_hours,relaxation_chi_drop,reload_start,reload_end,reload_duration_hours,reload_chi_rise,confidence,notes
BOW_20251228_074200,single_bow,2025-12-28T06:41:00+00:00,2025-12-28T10:43:00+00:00,4.033333333333333,2025-12-28T06:41:00+00:00,2025-12-28T07:42:00+00:00,1.0166666666666666,0.1275670677559699,2025-12-28T07:42:00+00:00,0.17522568988995554,0.02522568988995555,2025-12-28T07:42:00+00:00,2025-12-28T08:43:00+00:00,1.0166666666666666,0.017129108479234184,2025-12-28T08:43:00+00:00,2025-12-28T10:43:00+00:00,2.0,0.11439282612094714,1.0,
BOW_20251228_125200,single_bow,2025-12-28T11:50:00+00:00,2025-12-28T17:43:00+00:00,5.883333333333334,2025-12-28T11:50:00+00:00,2025-12-28T12:52:00+00:00,1.0333333333333334,0.02020502157594986,2025-12-28T12:52:00+00:00,0.15322545735829055,0.003225457358290551,2025-12-28T12:52:00+00:00,2025-12-28T13:52:00+00:00,1.0,0.020350206075869154,2025-12-28T13:52:00+00:00,2025-12-28T17:43:00+00:00,3.85,0.020295032496581322,1.0,
BOW_20251228_144300,single_bow,2025-12-28T13:43:00+00:00,2025-12-28T17:43:00+00:00,4.0,2025-12-28T13:43:00+00:00,2025-12-28T14:43:00+00:00,1.0,0.031286877091999246,2025-12-28T14:43:00+00:00,0.15421326587479875,0.004213265874798755,2025-12-28T14:43:00+00:00,2025-12-28T15:43:00+00:00,1.0,0.07232571405711437,2025-12-28T15:43:00+00:00,2025-12-28T17:43:00+00:00,2.0,0.07128273196131833,1.0,
BOW_20251228_163700,single_bow,2025-12-28T15:37:00+00:00,2025-12-28T19:37:00+00:00,4.0,2025-12-28T15:37:00+00:00,2025-12-28T16:37:00+00:00,1.0,0.06989890692034606,2025-12-28T16:37:00+00:00,0.14129302131680144,0.008706978683198557,2025-12-28T16:37:00+00:00,2025-12-28T17:37:00+00:00,1.0,0.04188026181618365,2025-12-28T17:37:00+00:00,2025-12-28T19:37:00+00:00,2.0,0.07461996822726646,1.0,
BOW_20251229_051900,single_bow,2025-12-29T04:19:00+00:00,2025-12-29T08:22:00+00:00,4.05,2025-12-29T04:19:00+00:00,2025-12-29T05:19:00+00:00,1.0,0.14180609030626548,2025-12-29T05:19:00+00:00,0.1681171275092806,0.0181171275092806,2025-12-29T05:19:00+00:00,2025-12-29T06:19:00+00:00,1.0,0.04490765368588839,2025-12-29T06:19:00+00:00,2025-12-29T08:22:00+00:00,2.05,0.017752597807716985,1.0,
BOW_20251229_070100,single_bow,2025-12-29T06:01:00+00:00,2025-12-29T10:18:00+00:00,4.283333333333333,2025-12-29T06:01:00+00:00,2025-12-29T07:01:00+00:00,1.0,0.10384269112214516,2025-12-29T07:01:00+00:00,0.1799046756381793,0.029904675638179307,2025-12-29T07:01:00+00:00,2025-12-29T08:18:00+00:00,1.2833333333333334,0.04422424956184137,2025-12-29T08:18:00+00:00,2025-12-29T10:18:00+00:00,2.0,0.030020935788713232,1.0,
BOW_20251229_085000,single_bow,2025-12-29T07:44:00+00:00,2025-12-29T11:50:00+00:00,4.1,2025-12-29T07:44:00+00:00,2025-12-29T08:50:00+00:00,1.1,0.02828607792268209,2025-12-29T08:50:00+00:00,0.16165607550156724,0.011656075501567248,2025-12-29T08:50:00+00:00,2025-12-29T09:50:00+00:00,1.0,0.02549473468077329,2025-12-29T09:50:00+00:00,2025-12-29T11:50:00+00:00,2.0,0.06094287704677784,1.0,
BOW_20251229_100600,single_bow,2025-12-29T09:06:00+00:00,2025-12-29T13:57:00+00:00,4.85,2025-12-29T09:06:00+00:00,2025-12-29T10:06:00+00:00,1.0,0.06284804310325953,2025-12-29T10:06:00+00:00,0.17925635566192583,0.02925635566192583,2025-12-29T10:06:00+00:00,2025-12-29T11:38:00+00:00,1.5333333333333334,0.021904182447929743,2025-12-29T11:38:00+00:00,2025-12-29T13:57:00+00:00,2.316666666666667,0.036788135796373495,1.0,
BOW_20251229_123300,single_bow,2025-12-29T10:58:00+00:00,2025-12-29T15:33:00+00:00,4.583333333333333,2025-12-29T10:58:00+00:00,2025-12-29T12:33:00+00:00,1.5833333333333333,0.03916337930626149,2025-12-29T12:33:00+00:00,0.17630819207673248,0.02630819207673249,2025-12-29T12:33:00+00:00,2025-12-29T13:33:00+00:00,1.0,0.08090666129357235,2025-12-29T13:33:00+00:00,2025-12-29T15:33:00+00:00,2.0,0.020990360677965295,1.0,
BOW_20251229_133700,single_bow,2025-12-29T12:28:00+00:00,2025-12-29T16:37:00+00:00,4.15,2025-12-29T12:28:00+00:00,2025-12-29T13:37:00+00:00,1.15,0.028599342622075127,2025-12-29T13:37:00+00:00,0.1286179843598706,0.021382015640129398,2025-12-29T13:37:00+00:00,2025-12-29T14:37:00+00:00,1.0,0.1034552276079175,2025-12-29T14:37:00+00:00,2025-12-29T16:37:00+00:00,2.0,0.08582016172511048,1.0,
BOW_20251229_161200,single_bow,2025-12-29T15:09:00+00:00,2025-12-29T21:35:00+00:00,6.433333333333334,2025-12-29T15:09:00+00:00,2025-12-29T16:12:00+00:00,1.05,0.024997690005654563,2025-12-29T16:12:00+00:00,0.14761877190876213,0.0023812280912378636,2025-12-29T16:12:00+00:00,2025-12-29T17:12:00+00:00,1.0,0.0632011056824189,2025-12-29T17:12:00+00:00,2025-12-29T21:35:00+00:00,4.383333333333334,0.04902006112729801,1.0,
BOW_20251230_005000,single_bow,2025-12-29T23:49:00+00:00,2025-12-30T03:50:00+00:00,4.016666666666667,2025-12-29T23:49:00+00:00,2025-12-30T00:50:00+00:00,1.0166666666666666,0.11514043310635905,2025-12-30T00:50:00+00:00,0.15190202528579969,0.001902025285799691,2025-12-30T00:50:00+00:00,2025-12-30T01:50:00+00:00,1.0,0.07477825723462889,2025-12-30T01:50:00+00:00,2025-12-30T03:50:00+00:00,2.0,0.03187512863870813,1.0,
BOW_20251230_034200,single_bow,2025-12-30T02:41:00+00:00,2025-12-30T06:57:00+00:00,4.266666666666667,2025-12-30T02:41:00+00:00,2025-12-30T03:42:00+00:00,1.0166666666666666,0.15112289602419976,2025-12-30T03:42:00+00:00,0.17265480867064634,0.022654808670646343,2025-12-30T03:42:00+00:00,2025-12-30T04:43:00+00:00,1.0166666666666666,0.04959037366731914,2025-12-30T04:43:00+00:00,2025-12-30T06:57:00+00:00,2.2333333333333334,0.019966601752299834,1.0,
BOW_20251231_200400,single_bow,2025-12-31T19:04:00+00:00,2025-12-31T23:04:00+00:00,4.0,2025-12-31T19:04:00+00:00,2025-12-31T20:04:00+00:00,1.0,0.036669579589362705,2025-12-31T20:04:00+00:00,0.14728370885556144,0.002716291144438554,2025-12-31T20:04:00+00:00,2025-12-31T21:04:00+00:00,1.0,0.10917168119412649,2025-12-31T21:04:00+00:00,2025-12-31T23:04:00+00:00,2.0,0.18879885726436915,1.0,
BOW_20251231_222700,single_bow,2025-12-31T21:27:00+00:00,2026-01-01T02:40:00+00:00,5.216666666666667,2025-12-31T21:27:00+00:00,2025-12-31T22:27:00+00:00,1.0,0.13513245951207467,2025-12-31T22:27:00+00:00,0.15776848478209385,0.007768484782093854,2025-12-31T22:27:00+00:00,2026-01-01T00:07:00+00:00,1.6666666666666667,0.04879504316424399,2026-01-01T00:07:00+00:00,2026-01-01T02:40:00+00:00,2.55,0.030052786243545265,1.0,
